
2024/12/23 (09:57:54) | ===> btop++ v.1.4.0
2024/12/23 (09:57:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (10:18:18) | ===> btop++ v.1.4.0
2024/12/24 (10:18:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (14:18:12) | ===> btop++ v.1.4.0
2024/12/24 (14:18:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (14:18:23) | ===> btop++ v.1.4.0
2024/12/24 (14:18:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (15:23:12) | ===> btop++ v.1.4.0
2024/12/24 (15:23:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (21:40:19) | ===> btop++ v.1.4.0
2024/12/24 (21:40:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (10:56:08) | ===> btop++ v.1.4.0
2024/12/25 (10:56:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (11:25:37) | ===> btop++ v.1.4.0
2024/12/25 (11:25:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (11:25:51) | ===> btop++ v.1.4.0
2024/12/25 (11:25:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (11:53:17) | ===> btop++ v.1.4.0
2024/12/25 (11:53:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (16:22:46) | ===> btop++ v.1.4.0
2024/12/25 (16:22:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (16:24:47) | ===> btop++ v.1.4.0
2024/12/25 (16:24:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (21:05:46) | ===> btop++ v.1.4.0
2024/12/25 (21:05:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (09:48:51) | ===> btop++ v.1.4.0
2024/12/27 (09:48:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (09:55:54) | ===> btop++ v.1.4.0
2024/12/27 (09:55:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (13:32:08) | ===> btop++ v.1.4.0
2024/12/30 (13:32:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (12:57:28) | ===> btop++ v.1.4.0
2025/01/11 (12:57:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (12:57:35) | ===> btop++ v.1.4.0
2025/01/11 (12:57:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (13:58:59) | ===> btop++ v.1.4.0
2025/01/21 (13:58:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (15:56:06) | ===> btop++ v.1.4.0
2025/01/25 (15:56:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (16:25:17) | ===> btop++ v.1.4.0
2025/01/25 (16:25:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (11:06:43) | ===> btop++ v.1.4.0
2025/01/26 (11:06:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (09:14:15) | ===> btop++ v.1.4.0
2025/01/27 (09:14:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (12:05:33) | ===> btop++ v.1.4.0
2025/02/02 (12:05:33) | WARNING: Intel GPU: Failed to initialize PMU
